vanilla trunk columns: 37
idx= 17 scored_draws=9 base_hits=26
idx= 78 scored_draws=6 base_hits=19
idx= 10 scored_draws=6 base_hits=18
idx= 11 scored_draws=6 base_hits=18
idx= 88 scored_draws=6 base_hits=16
idx=105 scored_draws=6 base_hits=16
idx= 28 scored_draws=6 base_hits=14
idx=  5 scored_draws=5 base_hits=18
idx= 54 scored_draws=5 base_hits=16
idx= 26 scored_draws=5 base_hits=15
idx= 53 scored_draws=5 base_hits=15
idx= 97 scored_draws=5 base_hits=14
idx= 98 scored_draws=5 base_hits=13
idx= 91 scored_draws=4 base_hits=16
idx= 39 scored_draws=4 base_hits=15
---
idx= 66 scored_draws=0 base_hits=0
idx= 75 scored_draws=0 base_hits=1
idx= 41 scored_draws=0 base_hits=1
idx= 16 scored_draws=0 base_hits=1
idx= 27 scored_draws=0 base_hits=2
catalog index = Some(13)
