loaded terrain cells=419265
PATCHTEST radii=2,4
PT col 94,70,-1 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 94,70,0 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 94,70,1 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 94,70,2 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 94,70,3 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 94,70,4 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 94,70,5 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 95,70,-2 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 95,70,-1 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 95,70,0 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 95,70,1 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 95,70,2 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 95,70,3 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 95,70,4 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 95,70,5 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 95,70,6 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 96,74,-2 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 96,70,-1 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 96,70,0 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 96,70,1 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 96,70,2 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 96,70,3 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 96,70,4 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 96,70,5 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 96,70,6 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 97,74,-2 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 97,70,-1 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 97,70,0 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 97,70,1 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 97,70,2 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 97,70,3 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 97,70,4 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 97,70,5 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 97,70,6 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 98,70,-1 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 98,70,0 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 98,70,1 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 98,70,2 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 98,70,3 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 98,70,4 below=Block{minecraft:air} -> NOTSTURDY repl=false
PT col 98,70,5 below=Block{minecraft:air} -> NOTSTURDY repl=false
PATCHTEST summary passed=0 notEmpty=0 notSturdy=39 noRepl=2
