loaded terrain cells=419265
PATCHTEST radii=2,4
PT col 105,136,-29 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 105,136,-28 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 105,136,-27 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 105,136,-26 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 105,136,-25 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 105,136,-24 below=Block{minecraft:dirt} -> NOREPL repl=false
PT col 105,136,-23 below=Block{minecraft:dirt} -> NOREPL repl=false
PT col 106,136,-30 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 106,136,-29 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 106,136,-28 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 106,136,-27 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 106,136,-26 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 106,136,-25 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 106,136,-24 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 106,136,-23 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 106,136,-22 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 107,136,-30 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 107,136,-29 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 107,136,-28 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 107,136,-27 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 107,136,-26 below=Block{minecraft:dirt} -> NOREPL repl=false
PT col 107,136,-25 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 107,136,-24 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 107,136,-23 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 107,136,-22 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 108,136,-30 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 108,136,-29 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 108,136,-28 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 108,136,-27 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 108,136,-26 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 108,136,-25 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 108,136,-24 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 108,136,-23 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 108,135,-22 below=Block{minecraft:dirt} -> NOREPL repl=false
PT col 109,136,-29 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 109,136,-28 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 109,136,-27 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 109,136,-26 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 109,136,-25 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 109,136,-24 below=Block{minecraft:grass_block} -> NOREPL repl=false
PT col 109,136,-23 below=Block{minecraft:grass_block} -> NOREPL repl=false
PATCHTEST summary passed=0 notEmpty=0 notSturdy=0 noRepl=41
